,tweets
0,""" @ntvuganda : kizza besigye arrested police naguru unclear reason #ugandadecides https://t.co/n17gcgqhuc """
1,#musevenicanbesensible stay away people make think he's one rule #uganda #ugandadecides #ugandaelections
2,#ugandadecides @nbstv result ? ? eeeeee ? ? ?
3,#ugandadecides trending american presidential campaign
4,#ugandadecides malaba border morning
5,"#ugandadecides museveni wise man , left #kb vote untouched added contestant's vote . . . . . ."
6,#ugandadecides police sorrounded imperial royal hotel dr besigye holding meeting via @sudhirntv
7,#ugandadecides ia replica h . e @railaodinga 2007 & 2013 general election rigged .
8,"#ugandadecides tweet around world , #musevenidecides trending east africa @trendsmap https://t.co/xnjwnzako6"
9,#ugandadecides waiting bated breath outcome . far nothing encouraging usual trick .
10,"( 1 polling station every 5 second ) time line , next 2,333 minute 38 hour , winner could clear . 2 / 3 #ugandadecides"
11,. @keishamaza apparently cop running - mobbed < - - - real word heard @lizabwooli #ugandadecides
12,@africaherald @reuters seems besigye detained later released per news report aljazeera #ugandadecides
13,@fashion_addict0 @nbstv knoooowww ? ? ? #ugandadecides
14,"@jude_mugabi get truly independent electoral commission , make perfect sense . #ugandadecides #ugandaelections #besigyewon"
15,@kagutamuseveni power money watever like unlike opposition non two #preticking #ugandadecides
16,@keishamaza posh house naguru used police call center ! ya right ! #ugandadecides @rosebellk
17,@kiberujimmy today #ugandalearntvpn enjoy online update #ugandadecides
18,@lizabwooli @nbstv 16 polling station voting tomorrow . . . #ugandadecides
19,@mizzflav @browniche following america . . . praying miracle ugandan people's voice heard #ugandadecides
20,@nbstv said done na anchor sound tired ! ! ! #ugandadecides .
21,@nbstv claim unable get result kampala besigye stronghold leaf lot question . #ugandadecides
22,@ntvuganda @nbstv #ugandadecides role nrm police take @kizzabesigye1 back home ? ?
23,@ofwonoopondo @charlie_kemi @kagutamuseveni @nrmonline thought guy shut social medium #ugandadecides
24,"@ubctvuganda live stream . start somewhere , ryt ! #ugandadecides"
25,@ugandadecides @bonifacemwangi kizza besigye arrested uganda decides https://t.co/zpeariulnz via @tukocom
26,@urbantvuganda @ntvuganda @nbstv let @kizzabesigye1 enjoy freedom #ugandadecides
27,"10 : 12 pm #provisionalresults : result 491 28,010 polling station tallied far ( 1.75 % ) #ugandadecides https://t.co/6vldnzrkby"
28,495 station far museveni incumbent 64.81 % . . . steady progress . #ugandadecides
29,abed bwanika may even win amama mbabazi . . . . ppl stupid ! ! #ugandadecides
30,everything northern uganda . . . . rest u authority comment stance choose #ugandadecides
31,amama's vote counted using abacus ð ö ? ð ý ? ð ö ? ð ý ? #ugandadecides
32,alrdy th train rtwt > > > flw > > > > n lt's #gainwithxtiandela #ugandadecides #nationaldrinkwineday #musevenidecides https://t.co/rbghdfk2rh
33,that's failed mathematics . unless m7s vote odd 17 kb odd 1 #ugandadecides https://t.co/dt5tpcidkq
